location	values	latitude	longitude	region	county	locality
Lowell, MA	{'latitude': 42.638263, 'longitude': -71.317188, 'type': 'locality', 'name': 'Lowell', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Middlesex County', 'locality': 'Lowell', 'administrative_area': 'Lowell', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lowell, MA, USA'}	42.638263	-71.317188	Massachusetts	Middlesex County	Lowell
Oconomowoc, WI	{'latitude': 43.103205, 'longitude': -88.502128, 'type': 'locality', 'name': 'Oconomowoc', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Waukesha County', 'locality': 'Oconomowoc', 'administrative_area': 'Oconomowoc', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Oconomowoc, WI, USA'}	43.103205	-88.502128	Wisconsin	Waukesha County	Oconomowoc
Marcus Hook, PA 19061	{'latitude': 39.812885, 'longitude': -75.416044, 'type': 'locality', 'name': 'Marcus Hook', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Delaware County', 'locality': 'Marcus Hook', 'administrative_area': 'Marcus Hook', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Marcus Hook, PA, USA'}	39.812885	-75.416044	Pennsylvania	Delaware County	Marcus Hook
Woodbury, MN 55125	{'latitude': 44.905591, 'longitude': -92.923039, 'type': 'locality', 'name': 'Woodbury', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Washington County', 'locality': 'Woodbury', 'administrative_area': 'Woodbury', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Woodbury, MN, USA'}	44.905591	-92.923039	Minnesota	Washington County	Woodbury
Melbourne, FL 32901	{'latitude': 28.110702, 'longitude': -80.637624, 'type': 'locality', 'name': 'Melbourne', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Brevard County', 'locality': 'Melbourne', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Melbourne, FL, USA'}	28.110702	-80.637624	Florida	Brevard County	Melbourne
Colorado Springs, CO 80904 (West Colorado Springs area)	{'latitude': 38.853069, 'longitude': -104.87158, 'type': 'venue', 'name': 'Pedego Electric Bikes Colorado Springs', 'number': '3040', 'postal_code': '80904', 'street': 'West Colorado Avenue', 'confidence': 0.8, 'region': 'Colorado', 'region_code': 'CO', 'county': 'El Paso County', 'locality': 'Colorado Springs', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Pedego Electric Bikes Colorado Springs, Colorado Springs, CO, USA'}	38.853069	-104.87158	Colorado	El Paso County	Colorado Springs
Ipswich, MA 01938	{'latitude': 42.678247, 'longitude': -70.823516, 'type': 'locality', 'name': 'Ipswich', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Essex County', 'locality': 'Ipswich', 'administrative_area': 'Ipswich', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Ipswich, MA, USA'}	42.678247	-70.823516	Massachusetts	Essex County	Ipswich
Monroe, WA 98272	{'latitude': 47.85131, 'longitude': -121.98551, 'type': 'locality', 'name': 'Monroe', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Washington', 'region_code': 'WA', 'county': 'Snohomish County', 'locality': 'Monroe', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Monroe, WA, USA'}	47.85131	-121.98551	Washington	Snohomish County	Monroe
Seattle, WA 98119 (Queen Anne area)	{'latitude': 47.638679, 'longitude': -122.370946, 'type': 'postalcode', 'name': '98119', 'number': None, 'postal_code': '98119', 'street': None, 'confidence': 1, 'region': 'Washington', 'region_code': 'WA', 'county': 'King County', 'locality': 'Seattle', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '98119, Seattle, WA, USA'}	47.638679	-122.370946	Washington	King County	Seattle
Seattle, WA 98103 (Greenwood area)	{'latitude': 47.678255, 'longitude': -122.338152, 'type': 'postalcode', 'name': '98103', 'number': None, 'postal_code': '98103', 'street': None, 'confidence': 1, 'region': 'Washington', 'region_code': 'WA', 'county': 'King County', 'locality': 'Seattle', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '98103, Seattle, WA, USA'}	47.678255	-122.338152	Washington	King County	Seattle
Skaneateles Falls, NY	{'latitude': 41.453068, 'longitude': -75.860473, 'type': 'locality', 'name': 'West Falls', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Wyoming County', 'locality': 'West Falls', 'administrative_area': 'Exeter Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'West Falls, PA, USA'}	41.453068	-75.860473	Pennsylvania	Wyoming County	West Falls
Pennington, NJ	{'latitude': 40.326633, 'longitude': -74.790882, 'type': 'locality', 'name': 'Pennington', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Mercer County', 'locality': 'Pennington', 'administrative_area': 'Pennington', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Pennington, NJ, USA'}	40.326633	-74.790882	New Jersey	Mercer County	Pennington
Lansdale, PA 19446	{'latitude': 40.23996, 'longitude': -75.281205, 'type': 'locality', 'name': 'Lansdale', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Montgomery County', 'locality': 'Lansdale', 'administrative_area': 'Lansdale', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lansdale, PA, USA'}	40.23996	-75.281205	Pennsylvania	Montgomery County	Lansdale
Columbiana, OH 44408	{'latitude': 40.886139, 'longitude': -80.688425, 'type': 'postalcode', 'name': '44408', 'number': None, 'postal_code': '44408', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Columbiana County', 'locality': 'Columbiana', 'administrative_area': 'Fairfield Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '44408, Columbiana, OH, USA'}	40.886139	-80.688425	Ohio	Columbiana County	Columbiana
Morris Plains, NJ	{'latitude': 40.834936, 'longitude': -74.47892, 'type': 'locality', 'name': 'Morris Plains', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Morris County', 'locality': 'Morris Plains', 'administrative_area': 'Morris Plains', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Morris Plains, NJ, USA'}	40.834936	-74.47892	New Jersey	Morris County	Morris Plains
Tewksbury, MA 01876	{'latitude': 42.61065, 'longitude': -71.23422, 'type': 'locality', 'name': 'Tewksbury', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Middlesex County', 'locality': 'Tewksbury', 'administrative_area': 'Tewksbury', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tewksbury, MA, USA'}	42.61065	-71.23422	Massachusetts	Middlesex County	Tewksbury
Phoenix, AZ 85013 (Encanto area)	{'latitude': 33.511087, 'longitude': -112.084749, 'type': 'postalcode', 'name': '85013', 'number': None, 'postal_code': '85013', 'street': None, 'confidence': 1, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Maricopa County', 'locality': 'Phoenix', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '85013, Phoenix, AZ, USA'}	33.511087	-112.084749	Arizona	Maricopa County	Phoenix
Janesville, WI 53545	{'latitude': 42.738737, 'longitude': -89.040222, 'type': 'postalcode', 'name': '53545', 'number': None, 'postal_code': '53545', 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Rock County', 'locality': None, 'administrative_area': 'Janesville', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '53545, Janesville, WI, USA'}	42.738737	-89.040222	Wisconsin	Rock County	
Santa Clara, CA 94085	{'latitude': 37.356651, 'longitude': -121.961118, 'type': 'locality', 'name': 'Santa Clara', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Santa Clara County', 'locality': 'Santa Clara', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Santa Clara, CA, USA'}	37.356651	-121.961118	California	Santa Clara County	Santa Clara
Marina del Rey, CA 90292	{'latitude': 33.975996, 'longitude': -118.448356, 'type': 'locality', 'name': 'Marina del Rey', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Marina del Rey', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Marina del Rey, CA, USA'}	33.975996	-118.448356	California	Los Angeles County	Marina del Rey
Bellevue, WA 98008 (Eastgate area)	{'latitude': 47.605797, 'longitude': -122.099118, 'type': 'postalcode', 'name': '98008', 'number': None, 'postal_code': '98008', 'street': None, 'confidence': 1, 'region': 'Washington', 'region_code': 'WA', 'county': 'King County', 'locality': 'Bellevue', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '98008, Bellevue, WA, USA'}	47.605797	-122.099118	Washington	King County	Bellevue
Norwalk, CT	{'latitude': 41.117217, 'longitude': -73.423247, 'type': 'locality', 'name': 'Norwalk', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Connecticut', 'region_code': 'CT', 'county': 'Fairfield County', 'locality': 'Norwalk', 'administrative_area': 'Norwalk', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Norwalk, CT, USA'}	41.117217	-73.423247	Connecticut	Fairfield County	Norwalk
Fort Mill, SC 29715	{'latitude': 35.007872, 'longitude': -80.941346, 'type': 'locality', 'name': 'Fort Mill', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'South Carolina', 'region_code': 'SC', 'county': 'York County', 'locality': 'Fort Mill', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fort Mill, SC, USA'}	35.007872	-80.941346	South Carolina	York County	Fort Mill
Pomona, CA 91767	{'latitude': 34.055948, 'longitude': -117.756785, 'type': 'locality', 'name': 'Pomona', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Pomona', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Pomona, CA, USA'}	34.055948	-117.756785	California	Los Angeles County	Pomona
Dayton, OH 45459	{'latitude': 39.760973, 'longitude': -84.198938, 'type': 'locality', 'name': 'Dayton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Montgomery County', 'locality': 'Dayton', 'administrative_area': 'Dayton', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Dayton, OH, USA'}	39.760973	-84.198938	Ohio	Montgomery County	Dayton
Akron, OH 44305 (Goodyear Heights area)	{'latitude': 41.075304, 'longitude': -81.461652, 'type': 'postalcode', 'name': '44305', 'number': None, 'postal_code': '44305', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Summit County', 'locality': 'Akron', 'administrative_area': 'Akron', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '44305, Akron, OH, USA'}	41.075304	-81.461652	Ohio	Summit County	Akron
Garland, TX	{'latitude': 32.907748, 'longitude': -96.640291, 'type': 'locality', 'name': 'Garland', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Dallas County', 'locality': 'Garland', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Garland, TX, USA'}	32.907748	-96.640291	Texas	Dallas County	Garland
Mansfield, OH 44901	{'latitude': 40.791707, 'longitude': -82.509404, 'type': 'postalcode', 'name': '44901', 'number': None, 'postal_code': '44901', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Richland County', 'locality': 'Mansfield', 'administrative_area': 'Mansfield Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '44901, Mansfield, OH, USA'}	40.791707	-82.509404	Ohio	Richland County	Mansfield
Tukwila, WA 98188	{'latitude': 47.474179, 'longitude': -122.273293, 'type': 'locality', 'name': 'Tukwila', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Washington', 'region_code': 'WA', 'county': 'King County', 'locality': 'Tukwila', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tukwila, WA, USA'}	47.474179	-122.273293	Washington	King County	Tukwila
Richmond, VA 23233	{'latitude': 37.519231, 'longitude': -77.473927, 'type': 'locality', 'name': 'Richmond', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Virginia', 'region_code': 'VA', 'county': 'City of Richmond', 'locality': 'Richmond', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Richmond, VA, USA'}	37.519231	-77.473927	Virginia	City of Richmond	Richmond
Austin, TX (West Oak Hill area)	{'latitude': 42.272026, 'longitude': -88.015972, 'type': 'locality', 'name': 'Mundelein', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Lake County', 'locality': 'Mundelein', 'administrative_area': 'Fremont Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Mundelein, IL, USA'}	42.272026	-88.015972	Illinois	Lake County	Mundelein
Richmond, VA 23219 (Central Office area)	{'latitude': -1.902485, 'longitude': -48.023812, 'type': 'address', 'name': 'Vale Bio Vale SN', 'number': 'SN', 'postal_code': '68685-000', 'street': 'Vale Bio Vale', 'confidence': 0.8, 'region': 'Para', 'region_code': 'PA', 'county': 'Concordia do Para', 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'Brazil', 'country_code': 'BRA', 'continent': 'South America', 'label': 'Vale Bio Vale SN, PA, Brazil'}	-1.902485	-48.023812	Para	Concordia do Para	
Blacklick, OH 43004	{'latitude': 39.90506, 'longitude': -82.86434, 'type': 'locality', 'name': 'Blacklick Estates', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Franklin County', 'locality': 'Blacklick Estates', 'administrative_area': 'Madison Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Blacklick Estates, OH, USA'}	39.90506	-82.86434	Ohio	Franklin County	Blacklick Estates
Atlanta, GA 30309	{'latitude': 33.769805, 'longitude': -84.414581, 'type': 'locality', 'name': 'Atlanta', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Fulton County', 'locality': 'Atlanta', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Atlanta, GA, USA'}	33.769805	-84.414581	Georgia	Fulton County	Atlanta
Issaquah, WA	{'latitude': 47.537061, 'longitude': -122.047322, 'type': 'locality', 'name': 'Issaquah', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Washington', 'region_code': 'WA', 'county': 'King County', 'locality': 'Issaquah', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Issaquah, WA, USA'}	47.537061	-122.047322	Washington	King County	Issaquah
Belmont, CA	{'latitude': 37.511768, 'longitude': -122.298939, 'type': 'locality', 'name': 'Belmont', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'San Mateo County', 'locality': 'Belmont', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Belmont, CA, USA'}	37.511768	-122.298939	California	San Mateo County	Belmont
Mount Hope, OH 44660	{'latitude': 40.62395, 'longitude': -81.78458, 'type': 'locality', 'name': 'Mount Hope', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Holmes County', 'locality': 'Mount Hope', 'administrative_area': 'Salt Creek Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Mount Hope, OH, USA'}	40.62395	-81.78458	Ohio	Holmes County	Mount Hope
Carolina, RI	{'latitude': 41.462345, 'longitude': -71.656787, 'type': 'locality', 'name': 'Carolina', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Rhode Island', 'region_code': 'RI', 'county': 'Washington County', 'locality': 'Carolina', 'administrative_area': 'Richmond', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Carolina, RI, USA'}	41.462345	-71.656787	Rhode Island	Washington County	Carolina
Lake Success, NY 11020	{'latitude': 40.771442, 'longitude': -73.714819, 'type': 'postalcode', 'name': '11020', 'number': None, 'postal_code': '11020', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Nassau County', 'locality': 'Lake Success', 'administrative_area': 'North Hempstead', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '11020, Lake Success, NY, USA'}	40.771442	-73.714819	New York	Nassau County	Lake Success
Bellevue, WA 98006 (Eastgate area)	{'latitude': 47.557627, 'longitude': -122.151005, 'type': 'postalcode', 'name': '98006', 'number': None, 'postal_code': '98006', 'street': None, 'confidence': 1, 'region': 'Washington', 'region_code': 'WA', 'county': 'King County', 'locality': 'Bellevue', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '98006, Bellevue, WA, USA'}	47.557627	-122.151005	Washington	King County	Bellevue
Sacramento, CA 94239 (Downtown area)	{'latitude': 42.411856, 'longitude': -124.41789, 'type': 'address', 'name': '94239 Fourth St', 'number': '94239', 'postal_code': '97444', 'street': 'Fourth St', 'confidence': 1, 'region': 'Oregon', 'region_code': 'OR', 'county': 'Curry County', 'locality': 'Gold Beach', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '94239 Fourth St, Gold Beach, OR, USA'}	42.411856	-124.41789	Oregon	Curry County	Gold Beach
Houston, TX 77019 (River Oaks area)	{'latitude': 29.784753, 'longitude': -95.361416, 'type': 'locality', 'name': 'Houston', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Harris County', 'locality': 'Houston', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Houston, TX, USA'}	29.784753	-95.361416	Texas	Harris County	Houston
Jersey City, NJ 07310	{'latitude': 40.730128, 'longitude': -74.036832, 'type': 'postalcode', 'name': '07310', 'number': None, 'postal_code': '07310', 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Hudson County', 'locality': 'Jersey City', 'administrative_area': 'Jersey City', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '07310, Jersey City, NJ, USA'}	40.730128	-74.036832	New Jersey	Hudson County	Jersey City
Philadelphia, PA 19192 (Cobbs Creek area)	{'latitude': 39.990821, 'longitude': -75.168428, 'type': 'locality', 'name': 'Philadelphia', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Philadelphia County', 'locality': 'Philadelphia', 'administrative_area': 'Philadelphia', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Philadelphia, PA, USA'}	39.990821	-75.168428	Pennsylvania	Philadelphia County	Philadelphia
Minneapolis, MN 55411	{'latitude': 44.96313, 'longitude': -93.266563, 'type': 'locality', 'name': 'Minneapolis', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Hennepin County', 'locality': 'Minneapolis', 'administrative_area': 'Minneapolis', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Minneapolis, MN, USA'}	44.96313	-93.266563	Minnesota	Hennepin County	Minneapolis
Grass Valley, CA	{'latitude': 39.227706, 'longitude': -121.055374, 'type': 'locality', 'name': 'Grass Valley', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Nevada County', 'locality': 'Grass Valley', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Grass Valley, CA, USA'}	39.227706	-121.055374	California	Nevada County	Grass Valley
Florida, NY	{'latitude': 41.330628, 'longitude': -74.354541, 'type': 'locality', 'name': 'Florida', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Orange County', 'locality': 'Florida', 'administrative_area': 'Warwick', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Florida, NY, USA'}	41.330628	-74.354541	New York	Orange County	Florida
Swedesboro, NJ 08085	{'latitude': 39.748299, 'longitude': -75.310335, 'type': 'locality', 'name': 'Swedesboro', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Gloucester County', 'locality': 'Swedesboro', 'administrative_area': 'Swedesboro', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Swedesboro, NJ, USA'}	39.748299	-75.310335	New Jersey	Gloucester County	Swedesboro
Summit, NJ 07901	{'latitude': 40.714923, 'longitude': -74.366372, 'type': 'postalcode', 'name': '07901', 'number': None, 'postal_code': '07901', 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Union County', 'locality': 'Summit', 'administrative_area': 'Summit', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '07901, Summit, NJ, USA'}	40.714923	-74.366372	New Jersey	Union County	Summit
New York, NY 11356 (College Point area)	{'latitude': 40.784923, 'longitude': -73.841548, 'type': 'postalcode', 'name': '11356', 'number': None, 'postal_code': '11356', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Kings County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '11356, New York, NY, USA'}	40.784923	-73.841548	New York	Kings County	New York
Altoona, IA	{'latitude': 41.64968, 'longitude': -93.469235, 'type': 'locality', 'name': 'Altoona', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Iowa', 'region_code': 'IA', 'county': 'Polk County', 'locality': 'Altoona', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Altoona, IA, USA'}	41.64968	-93.469235	Iowa	Polk County	Altoona
Farmington, MI	{'latitude': 42.462278, 'longitude': -83.378388, 'type': 'locality', 'name': 'Farmington', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Oakland County', 'locality': 'Farmington', 'administrative_area': 'Farmington', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Farmington, MI, USA'}	42.462278	-83.378388	Michigan	Oakland County	Farmington
Kimberton, PA 19442	{'latitude': 40.860198, 'longitude': -77.838617, 'type': 'region', 'name': 'Pennsylvania', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.3, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Pennsylvania, USA'}	40.860198	-77.838617	Pennsylvania		
San Francisco, CA 94104 (Financial District/South Beach area)	{'latitude': 25.790491, 'longitude': -80.136416, 'type': 'venue', 'name': 'South Beach Art Deco District', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.8, 'region': 'Florida', 'region_code': 'FL', 'county': 'Miami-Dade County', 'locality': 'Miami Beach', 'administrative_area': None, 'neighbourhood': 'South Miami Beach', 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'South Beach Art Deco District, Miami Beach, FL, USA'}	25.790491	-80.136416	Florida	Miami-Dade County	Miami Beach
Marina del Rey, CA	{'latitude': 33.975996, 'longitude': -118.448356, 'type': 'locality', 'name': 'Marina del Rey', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Marina del Rey', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Marina del Rey, CA, USA'}	33.975996	-118.448356	California	Los Angeles County	Marina del Rey
Amesbury, MA 01913	{'latitude': 42.85083, 'longitude': -70.948205, 'type': 'locality', 'name': 'Amesbury Town', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Essex County', 'locality': 'Amesbury Town', 'administrative_area': 'Amesbury Town', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Amesbury Town, MA, USA'}	42.85083	-70.948205	Massachusetts	Essex County	Amesbury Town
Denver, CO 80237	{'latitude': 39.740959, 'longitude': -104.985798, 'type': 'locality', 'name': 'Denver', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Denver County', 'locality': 'Denver', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Denver, CO, USA'}	39.740959	-104.985798	Colorado	Denver County	Denver
Fort Collins, CO 80525	{'latitude': 40.542844, 'longitude': -105.06543, 'type': 'locality', 'name': 'Fort Collins', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Larimer County', 'locality': 'Fort Collins', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fort Collins, CO, USA'}	40.542844	-105.06543	Colorado	Larimer County	Fort Collins
