location	values
Orchard Park, NY 14127	{'latitude': 42.752803, 'longitude': -78.739697, 'type': 'postalcode', 'name': '14127', 'number': None, 'postal_code': '14127', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Erie County', 'locality': None, 'administrative_area': 'Orchard Park', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '14127, Orchard Park, NY, USA'}
Spruce Pine, NC 28777	{'latitude': 35.904431, 'longitude': -82.068534, 'type': 'postalcode', 'name': '28777', 'number': None, 'postal_code': '28777', 'street': None, 'confidence': 1, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Mitchell County', 'locality': 'Spruce Pine', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '28777, Spruce Pine, NC, USA'}
Houston, TX 77027	{'latitude': 29.740079, 'longitude': -95.446409, 'type': 'postalcode', 'name': '77027', 'number': None, 'postal_code': '77027', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Harris County', 'locality': 'Houston', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '77027, Houston, TX, USA'}
Pasadena, CA 91101 (Pasadena area)	{'latitude': 34.146665, 'longitude': -118.139459, 'type': 'postalcode', 'name': '91101', 'number': None, 'postal_code': '91101', 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Pasadena', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '91101, Pasadena, CA, USA'}
Brooklyn Park, MN 55445	{'latitude': 45.11953, 'longitude': -93.350542, 'type': 'locality', 'name': 'Brooklyn Park', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Hennepin County', 'locality': 'Brooklyn Park', 'administrative_area': 'Brooklyn Park', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Brooklyn Park, MN, USA'}
Gregory, TX	{'latitude': 27.920171, 'longitude': -97.29062, 'type': 'locality', 'name': 'Gregory', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'San Patricio County', 'locality': 'Gregory', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Gregory, TX, USA'}
Dallas, TX 75244	{'latitude': 32.925367, 'longitude': -96.836334, 'type': 'postalcode', 'name': '75244', 'number': None, 'postal_code': '75244', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Dallas County', 'locality': 'Dallas', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '75244, Dallas, TX, USA'}
Concord, OH	{'latitude': 38.733115, 'longitude': -82.842119, 'type': 'locality', 'name': 'Wheelersburg', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Scioto County', 'locality': 'Wheelersburg', 'administrative_area': 'Porter Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Wheelersburg, OH, USA'}
Newport, VT	{'latitude': 44.93861, 'longitude': -72.21247, 'type': 'locality', 'name': 'Newport', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Vermont', 'region_code': 'VT', 'county': 'Orleans County', 'locality': 'Newport', 'administrative_area': 'Newport', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Newport, VT, USA'}
Miami Beach, FL 33140 (Oceanfront area)	{'latitude': 25.819714, 'longitude': -80.133711, 'type': 'postalcode', 'name': '33140', 'number': None, 'postal_code': '33140', 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Miami-Dade County', 'locality': 'Miami Beach', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '33140, Miami Beach, FL, USA'}
Chandler, AZ 85225	{'latitude': 33.310045, 'longitude': -111.861363, 'type': 'locality', 'name': 'Chandler', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Maricopa County', 'locality': 'Chandler', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Chandler, AZ, USA'}
East Peoria, IL	{'latitude': 40.695598, 'longitude': -89.534031, 'type': 'locality', 'name': 'East Peoria', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Tazewell County', 'locality': 'East Peoria', 'administrative_area': 'Fondulac Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'East Peoria, IL, USA'}
Denver, CO 80237 (Hampden South area)	{'latitude': 39.740959, 'longitude': -104.985798, 'type': 'locality', 'name': 'Denver', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Denver County', 'locality': 'Denver', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Denver, CO, USA'}
Hopkins, MN	{'latitude': 44.927304, 'longitude': -93.410897, 'type': 'locality', 'name': 'Hopkins', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Hennepin County', 'locality': 'Hopkins', 'administrative_area': 'Hopkins', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Hopkins, MN, USA'}
Newton, MA 02466 (Auburndale area)	{'latitude': 35.645063, 'longitude': -81.269966, 'type': 'address', 'name': '2466 NC-10', 'number': '2466', 'postal_code': None, 'street': 'NC-10', 'confidence': 1, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Catawba County', 'locality': 'Newton', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '2466 NC-10, Newton, NC, USA'}
Webster, TX	{'latitude': 29.532256, 'longitude': -95.118836, 'type': 'locality', 'name': 'Webster', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Harris County', 'locality': 'Webster', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Webster, TX, USA'}
Pontiac, IL 61764	{'latitude': 40.880085, 'longitude': -88.632491, 'type': 'locality', 'name': 'Pontiac', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Livingston County', 'locality': 'Pontiac', 'administrative_area': 'Pontiac Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Pontiac, IL, USA'}
Tyler, TX 75703	{'latitude': 32.321898, 'longitude': -95.299952, 'type': 'locality', 'name': 'Tyler', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Smith County', 'locality': 'Tyler', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tyler, TX, USA'}
Franklin, TN 37067 (McEwen area)	{'latitude': 35.916833, 'longitude': -86.850875, 'type': 'locality', 'name': 'Franklin', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Tennessee', 'region_code': 'TN', 'county': 'Williamson County', 'locality': 'Franklin', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Franklin, TN, USA'}
Jamestown, NY 14701	{'latitude': 42.08016, 'longitude': -79.25671, 'type': 'postalcode', 'name': '14701', 'number': None, 'postal_code': '14701', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Chautauqua County', 'locality': 'Jamestown', 'administrative_area': 'Jamestown', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '14701, Jamestown, NY, USA'}
Carson, CA 90745	{'latitude': 33.835289, 'longitude': -118.259285, 'type': 'locality', 'name': 'Carson', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Carson', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Carson, CA, USA'}
Lancaster, SC	{'latitude': 34.726672, 'longitude': -80.782845, 'type': 'locality', 'name': 'Lancaster', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'South Carolina', 'region_code': 'SC', 'county': 'Lancaster County', 'locality': 'Lancaster', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lancaster, SC, USA'}
Lemont Furnace, PA 15456	{'latitude': 39.911344, 'longitude': -79.663765, 'type': 'locality', 'name': 'Lemont Furnace', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Fayette County', 'locality': 'Lemont Furnace', 'administrative_area': 'North Union Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lemont Furnace, PA, USA'}
Virginia Beach, VA 23459 (Northeast area)	{'latitude': 36.85293, 'longitude': -75.97798, 'type': 'locality', 'name': 'Virginia Beach', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Virginia', 'region_code': 'VA', 'county': 'City of Virginia Beach', 'locality': 'Virginia Beach', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Virginia Beach, VA, USA'}
Willowbrook, IL 60527	{'latitude': 41.775084, 'longitude': -87.952625, 'type': 'locality', 'name': 'Willowbrook', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'DuPage County', 'locality': 'Willowbrook', 'administrative_area': 'Downers Grove Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Willowbrook, IL, USA', 'map_url': 'https://map.positionstack.com/export/embed.html?bbox=-87.9643,41.738261,-87.92323,41.783297&layer=mapnik&marker=41.775084,-87.952625'}
Blairsville, PA	{'latitude': 40.431115, 'longitude': -79.260844, 'type': 'locality', 'name': 'Blairsville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Indiana County', 'locality': 'Blairsville', 'administrative_area': 'Blairsville', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Blairsville, PA, USA'}
York, PA 17402	{'latitude': 39.959115, 'longitude': -76.724101, 'type': 'locality', 'name': 'York', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'York County', 'locality': 'York', 'administrative_area': 'York', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'York, PA, USA'}
Peabody, MA	{'latitude': 42.528959, 'longitude': -70.971547, 'type': 'locality', 'name': 'Peabody', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Essex County', 'locality': 'Peabody', 'administrative_area': 'Peabody', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Peabody, MA, USA'}
Idleyld Park, OR	{'latitude': 43.32373, 'longitude': -123.02395, 'type': 'locality', 'name': 'Idleyld Park', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Oregon', 'region_code': 'OR', 'county': 'Douglas County', 'locality': 'Idleyld Park', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Idleyld Park, OR, USA'}
Newton, MS 39345	{'latitude': 32.32126, 'longitude': -89.16339, 'type': 'locality', 'name': 'Newton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Mississippi', 'region_code': 'MS', 'county': 'Newton County', 'locality': 'Newton', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Newton, MS, USA'}
Fremont, MI 49412	{'latitude': 43.46323, 'longitude': -85.95343, 'type': 'locality', 'name': 'City of Fremont', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Newaygo County', 'locality': 'City of Fremont', 'administrative_area': 'Fremont', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'City of Fremont, MI, USA'}
Lititz, PA	{'latitude': 40.15378, 'longitude': -76.304349, 'type': 'locality', 'name': 'Lititz', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Lancaster County', 'locality': 'Lititz', 'administrative_area': 'Lititz', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lititz, PA, USA'}
Elkton, MD	{'latitude': 39.611527, 'longitude': -75.836554, 'type': 'locality', 'name': 'Elkton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Maryland', 'region_code': 'MD', 'county': 'Cecil County', 'locality': 'Elkton', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Elkton, MD, USA'}
Lynchburg, VA 24502	{'latitude': 37.41375, 'longitude': -79.14225, 'type': 'locality', 'name': 'Lynchburg', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Virginia', 'region_code': 'VA', 'county': 'City of Lynchburg', 'locality': 'Lynchburg', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lynchburg, VA, USA'}
Milwaukee, WI 53208 (Miller Valley area)	{'latitude': 43.047072, 'longitude': -87.967198, 'type': 'postalcode', 'name': '53208', 'number': None, 'postal_code': '53208', 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Milwaukee County', 'locality': 'Milwaukee', 'administrative_area': 'Milwaukee', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '53208, Milwaukee, WI, USA'}
Prescott, AZ	{'latitude': 34.582736, 'longitude': -112.447507, 'type': 'locality', 'name': 'Prescott', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Yavapai County', 'locality': 'Prescott', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Prescott, AZ, USA'}
Cleveland, OH (Downtown area)	{'latitude': 41.496551, 'longitude': -81.651327, 'type': 'locality', 'name': 'Cleveland', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Cuyahoga County', 'locality': 'Cleveland', 'administrative_area': 'Cleveland', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Cleveland, OH, USA'}
Hunt Valley, MD 21031	{'latitude': 39.49983, 'longitude': -76.64108, 'type': 'locality', 'name': 'Hunt Valley', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maryland', 'region_code': 'MD', 'county': 'Baltimore County', 'locality': 'Hunt Valley', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Hunt Valley, MD, USA'}
Costa Mesa, CA	{'latitude': 33.665019, 'longitude': -117.920311, 'type': 'locality', 'name': 'Costa Mesa', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Orange County', 'locality': 'Costa Mesa', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Costa Mesa, CA, USA'}
Webster, NY	{'latitude': 43.227063, 'longitude': -77.470128, 'type': 'locality', 'name': 'Webster', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Monroe County', 'locality': 'Webster', 'administrative_area': 'Webster', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Webster, NY, USA'}
New Kensington, PA 15068	{'latitude': 40.56848, 'longitude': -79.746625, 'type': 'locality', 'name': 'New Kensington', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Westmoreland County', 'locality': 'New Kensington', 'administrative_area': 'New Kensington', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'New Kensington, PA, USA'}
Leawood, KS 66211	{'latitude': 38.96667, 'longitude': -94.6169, 'type': 'locality', 'name': 'Leawood', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Kansas', 'region_code': 'KS', 'county': 'Johnson County', 'locality': 'Leawood', 'administrative_area': 'Leawood', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Leawood, KS, USA'}
Bellevue, WA 98008 (Crossroads area)	{'latitude': 47.605797, 'longitude': -122.099118, 'type': 'postalcode', 'name': '98008', 'number': None, 'postal_code': '98008', 'street': None, 'confidence': 1, 'region': 'Washington', 'region_code': 'WA', 'county': 'King County', 'locality': 'Bellevue', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '98008, Bellevue, WA, USA'}
Columbus, OH 43085 (Worthington area)	{'latitude': 40.100924, 'longitude': -83.013402, 'type': 'postalcode', 'name': '43085', 'number': None, 'postal_code': '43085', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Franklin County', 'locality': 'Worthington', 'administrative_area': 'Sharon Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '43085, Worthington, OH, USA'}
Wooster, OH 44691	{'latitude': 40.805744, 'longitude': -81.98247, 'type': 'postalcode', 'name': '44691', 'number': None, 'postal_code': '44691', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Wayne County', 'locality': None, 'administrative_area': 'Wooster Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '44691, Wooster Township, OH, USA'}
Knoxville, AR 72845	{'latitude': 35.379321, 'longitude': -93.36311, 'type': 'locality', 'name': 'Knoxville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Arkansas', 'region_code': 'AR', 'county': 'Johnson County', 'locality': 'Knoxville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Knoxville, AR, USA'}
Fort Worth, TX 76116 (Ridglea Hills area)	{'latitude': 32.720723, 'longitude': -97.447033, 'type': 'postalcode', 'name': '76116', 'number': None, 'postal_code': '76116', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Tarrant County', 'locality': 'Fort Worth', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '76116, Fort Worth, TX, USA'}
Norfolk, VA 23510 (Downtown area)	{'latitude': 36.852122, 'longitude': -76.291682, 'type': 'postalcode', 'name': '23510', 'number': None, 'postal_code': '23510', 'street': None, 'confidence': 1, 'region': 'Virginia', 'region_code': 'VA', 'county': 'City of Norfolk', 'locality': 'Norfolk', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '23510, Norfolk, VA, USA'}
Tazewell, VA	{'latitude': 37.121949, 'longitude': -81.516364, 'type': 'locality', 'name': 'Tazewell', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Virginia', 'region_code': 'VA', 'county': 'Tazewell County', 'locality': 'Tazewell', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tazewell, VA, USA'}
Las Vegas, NV 89120 (Paradise area)	{'latitude': 36.081318, 'longitude': -115.095455, 'type': 'postalcode', 'name': '89120', 'number': None, 'postal_code': '89120', 'street': None, 'confidence': 1, 'region': 'Nevada', 'region_code': 'NV', 'county': 'Clark County', 'locality': 'Paradise', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '89120, Paradise, NV, USA'}
Middletown, CT 06457	{'latitude': 41.531146, 'longitude': -72.644929, 'type': 'locality', 'name': 'Middletown', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Connecticut', 'region_code': 'CT', 'county': 'Middlesex County', 'locality': 'Middletown', 'administrative_area': 'Middletown', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Middletown, CT, USA'}
Englewood, CO 80151	{'latitude': 39.640813, 'longitude': -104.991667, 'type': 'locality', 'name': 'Englewood', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Arapahoe County', 'locality': 'Englewood', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Englewood, CO, USA'}
Castroville, TX 78009	{'latitude': 29.357252, 'longitude': -98.886655, 'type': 'postalcode', 'name': '78009', 'number': None, 'postal_code': '78009', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Medina County', 'locality': 'Castroville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '78009, Castroville, TX, USA'}
Boulder, CO 80304 (Central Boulder area)	{'latitude': 40.016412, 'longitude': -105.259703, 'type': 'locality', 'name': 'Boulder', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Boulder County', 'locality': 'Boulder', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Boulder, CO, USA'}
Macon, GA	{'latitude': 32.820697, 'longitude': -83.650961, 'type': 'locality', 'name': 'Macon', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Bibb County', 'locality': 'Macon', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Macon, GA, USA'}
Sunbury, PA 17801	{'latitude': 40.862474, 'longitude': -76.787097, 'type': 'locality', 'name': 'Sunbury', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Northumberland County', 'locality': 'Sunbury', 'administrative_area': 'Sunbury', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Sunbury, PA, USA'}
Tampa, FL 33605 (Historic Ybor area)	{'latitude': 27.951122, 'longitude': -82.42968, 'type': 'postalcode', 'name': '33605', 'number': None, 'postal_code': '33605', 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Hillsborough County', 'locality': 'Tampa', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '33605, Tampa, FL, USA'}
Rockledge, FL	{'latitude': 28.319525, 'longitude': -80.721367, 'type': 'locality', 'name': 'Rockledge', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Brevard County', 'locality': 'Rockledge', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Rockledge, FL, USA'}
Merrillville, IN 46410	{'latitude': 41.480829, 'longitude': -87.347479, 'type': 'locality', 'name': 'Merrillville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Indiana', 'region_code': 'IN', 'county': 'Lake County', 'locality': 'Merrillville', 'administrative_area': 'Ross Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Merrillville, IN, USA'}
Broomfield, CO 80023	{'latitude': 39.938612, 'longitude': -105.044226, 'type': 'locality', 'name': 'Broomfield', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Broomfield County', 'locality': 'Broomfield', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Broomfield, CO, USA'}
Houston, TX 77057 (Galleria-Uptown area)	{'latitude': 29.744081, 'longitude': -95.487974, 'type': 'postalcode', 'name': '77057', 'number': None, 'postal_code': '77057', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Harris County', 'locality': 'Houston', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '77057, Houston, TX, USA'}
Venice, FL 34292	{'latitude': 27.137915, 'longitude': -82.391823, 'type': 'locality', 'name': 'Venice', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Sarasota County', 'locality': 'Venice', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Venice, FL, USA'}
Phoenix, AZ 85023 (Deer Valley area)	{'latitude': 33.60503, 'longitude': -112.070892, 'type': 'locality', 'name': 'Phoenix', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Maricopa County', 'locality': 'Phoenix', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Phoenix, AZ, USA'}
Bozeman, MT	{'latitude': 45.673769, 'longitude': -111.042923, 'type': 'locality', 'name': 'Bozeman', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Montana', 'region_code': 'MT', 'county': 'Gallatin County', 'locality': 'Bozeman', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Bozeman, MT, USA'}
Hawthorne, CA 90250 (North Hawthorne area)	{'latitude': 33.915269, 'longitude': -118.347683, 'type': 'locality', 'name': 'Hawthorne', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Hawthorne', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Hawthorne, CA, USA'}
Littleton, CO 80128	{'latitude': 39.585202, 'longitude': -105.008655, 'type': 'locality', 'name': 'Littleton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Arapahoe County', 'locality': 'Littleton', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Littleton, CO, USA'}
